codigo_municipio,municipio,uf_sigla,uf_nome,regiao,mesorregiao,microrregiao,populacao,pib_total_mil_reais,vab_adm_publica_mil_reais,vab_agropecuaria_mil_reais,vab_industria_mil_reais,vab_servicos_mil_reais,pib_per_capita_reais,cluster
1100015,Alta Floresta D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,22516.0,734467.0,173122.0,311469.0,27845.0,172435.0,32619.78148871913,1
1100023,Ariquemes,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes,111148.0,3211294.0,782306.0,293001.0,407675.0,1307977.0,28892.053838125743,1
1100031,Cabixi,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,5067.0,238414.0,46579.0,136659.0,8117.0,35866.0,47052.29919084271,0
1100049,Cacoal,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,86416.0,2792506.0,629109.0,341315.0,236801.0,1200654.0,32314.68709498241,1
1100056,Cerejeiras,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,16088.0,743062.0,123365.0,151690.0,27433.0,308668.0,46187.34460467429,1
1100064,Colorado do Oeste,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,15213.0,424846.0,114881.0,123524.0,28827.0,124601.0,27926.510221521068,0
1100072,Corumbiara,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste,7052.0,396740.0,60535.0,260728.0,14014.0,45392.0,56259.21724333522,0
1100080,Costa Marques,RO,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim,19255.0,316672.0,128057.0,116783.0,6683.0,53392.0,16446.221760581666,0
1100098,Espigão D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,33009.0,773372.0,217511.0,202434.0,54682.0,221162.0,23429.125390045137,1
1100106,Guajará-Mirim,RO,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim,46930.0,1054255.0,319235.0,77442.0,40538.0,436344.0,22464.415086298744,1
1100114,Jaru,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,51469.0,1764718.0,379860.0,280711.0,177623.0,688455.0,34287.00771338087,1
1100122,Ji-Paraná,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,131026.0,4230355.0,876139.0,206345.0,502238.0,1926052.0,32286.378276067346,1
1100130,Machadinho D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes,41724.0,890319.0,275753.0,352193.0,34663.0,174794.0,21338.2945067587,1
1100148,Nova Brasilândia D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,20504.0,549853.0,142582.0,228451.0,25505.0,114551.0,26816.86500195084,1
1100155,Ouro Preto do Oeste,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,35445.0,986046.0,249016.0,216209.0,71311.0,352572.0,27819.04358865849,1
1100189,Pimenta Bueno,RO,Rondônia,Norte,Leste Rondoniense,Vilhena,37098.0,1642621.0,280779.0,297492.0,207693.0,550816.0,44277.8856003019,1
1100205,Porto Velho,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho,548952.0,20056138.0,3983359.0,1041285.0,4625035.0,7555290.0,36535.32184963348,1
1100254,Presidente Médici,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná,18165.0,560210.0,134437.0,183438.0,50710.0,140128.0,30840.077071290943,1
1100262,Rio Crespo,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes,3843.0,184428.0,36557.0,115354.0,7564.0,18756.0,47990.63231850117,0
1100288,Rolim de Moura,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,55748.0,1565241.0,411623.0,194673.0,171674.0,606268.0,28077.07899834972,1
1100296,Santa Luzia D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,5942.0,213590.0,51633.0,106980.0,13083.0,33188.0,35945.80949175362,0
1100304,Vilhena,RO,Rondônia,Norte,Leste Rondoniense,Vilhena,104517.0,4215442.0,777252.0,674880.0,369206.0,1712252.0,40332.59661107762,1
1100320,São Miguel do Guaporé,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,23147.0,905341.0,176034.0,381639.0,82318.0,199588.0,39112.67118849095,1
1100338,Nova Mamoré,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho,32184.0,742686.0,214672.0,344263.0,21481.0,129299.0,23076.249067859808,1
1100346,Alvorada D'Oeste,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste,13807.0,352630.0,104853.0,147689.0,11553.0,72543.0,25539.94350691678,0
1100379,Alto Alegre dos Parecis,RO,Rondônia,Norte,Leste Rondoniense,Cacoal,13268.0,483672.0,103294.0,277664.0,18507.0,63694.0,36454.02472113355,0
1100403,Alto Paraíso,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes,22258.0,510740.0,148951.0,185477.0,24384.0,119576.0,22946.356366250337,1
